region,gas,units,year,data_val
Auckland,Carbon dioxide equivalents,Kilotonnes,2007,46.04
Auckland,Carbon dioxide equivalents,Kilotonnes,2008,46.03
Auckland,Carbon dioxide equivalents,Kilotonnes,2009,43.55
Auckland,Carbon dioxide equivalents,Kilotonnes,2010,39.58
Auckland,Carbon dioxide equivalents,Kilotonnes,2011,42.05
Auckland,Carbon dioxide equivalents,Kilotonnes,2012,49.5
Auckland,Carbon dioxide equivalents,Kilotonnes,2013,52.69
Auckland,Carbon dioxide equivalents,Kilotonnes,2014,45.63
Auckland,Carbon dioxide equivalents,Kilotonnes,2015,42.56
Auckland,Carbon dioxide equivalents,Kilotonnes,2016,37.5
Auckland,Carbon dioxide equivalents,Kilotonnes,2017,30.41
Auckland,Carbon dioxide equivalents,Kilotonnes,2018,35.17
Auckland,Carbon dioxide equivalents,Kilotonnes,2019,33.38
Bay of Plenty,Carbon dioxide equivalents,Kilotonnes,2007,117.58
Bay of Plenty,Carbon dioxide equivalents,Kilotonnes,2008,105.36
Bay of Plenty,Carbon dioxide equivalents,Kilotonnes,2009,113.99
Bay of Plenty,Carbon dioxide equivalents,Kilotonnes,2010,133.69
Bay of Plenty,Carbon dioxide equivalents,Kilotonnes,2011,139.08
Bay of Plenty,Carbon dioxide equivalents,Kilotonnes,2012,124.41
Bay of Plenty,Carbon dioxide equivalents,Kilotonnes,2013,143.28
Bay of Plenty,Carbon dioxide equivalents,Kilotonnes,2014,134.26
Bay of Plenty,Carbon dioxide equivalents,Kilotonnes,2015,134.34
Bay of Plenty,Carbon dioxide equivalents,Kilotonnes,2016,122.46
Bay of Plenty,Carbon dioxide equivalents,Kilotonnes,2017,137.01
Bay of Plenty,Carbon dioxide equivalents,Kilotonnes,2018,146
Bay of Plenty,Carbon dioxide equivalents,Kilotonnes,2019,144.33
Canterbury,Carbon dioxide equivalents,Kilotonnes,2007,168.8
Canterbury,Carbon dioxide equivalents,Kilotonnes,2008,179.22
Canterbury,Carbon dioxide equivalents,Kilotonnes,2009,197.12
Canterbury,Carbon dioxide equivalents,Kilotonnes,2010,190.44
Canterbury,Carbon dioxide equivalents,Kilotonnes,2011,193.61
Canterbury,Carbon dioxide equivalents,Kilotonnes,2012,173.8
Canterbury,Carbon dioxide equivalents,Kilotonnes,2013,168.33
Canterbury,Carbon dioxide equivalents,Kilotonnes,2014,174.55
Canterbury,Carbon dioxide equivalents,Kilotonnes,2015,152.13
Canterbury,Carbon dioxide equivalents,Kilotonnes,2016,150.08
Canterbury,Carbon dioxide equivalents,Kilotonnes,2017,151.6
Canterbury,Carbon dioxide equivalents,Kilotonnes,2018,182.91
Canterbury,Carbon dioxide equivalents,Kilotonnes,2019,197.33
Gisborne,Carbon dioxide equivalents,Kilotonnes,2007,25.56
Gisborne,Carbon dioxide equivalents,Kilotonnes,2008,33.84
Gisborne,Carbon dioxide equivalents,Kilotonnes,2009,37.17
Gisborne,Carbon dioxide equivalents,Kilotonnes,2010,43.82
Gisborne,Carbon dioxide equivalents,Kilotonnes,2011,47.55
Gisborne,Carbon dioxide equivalents,Kilotonnes,2012,49.11
Gisborne,Carbon dioxide equivalents,Kilotonnes,2013,57.43
Gisborne,Carbon dioxide equivalents,Kilotonnes,2014,51.17
Gisborne,Carbon dioxide equivalents,Kilotonnes,2015,55.77
Gisborne,Carbon dioxide equivalents,Kilotonnes,2016,62.66
Gisborne,Carbon dioxide equivalents,Kilotonnes,2017,48.01
Gisborne,Carbon dioxide equivalents,Kilotonnes,2018,66.79
Gisborne,Carbon dioxide equivalents,Kilotonnes,2019,54.56
Hawke's Bay,Carbon dioxide equivalents,Kilotonnes,2007,55.48
Hawke's Bay,Carbon dioxide equivalents,Kilotonnes,2008,49.32
Hawke's Bay,Carbon dioxide equivalents,Kilotonnes,2009,45.49
Hawke's Bay,Carbon dioxide equivalents,Kilotonnes,2010,55.94
Hawke's Bay,Carbon dioxide equivalents,Kilotonnes,2011,49.67
Hawke's Bay,Carbon dioxide equivalents,Kilotonnes,2012,49.32
Hawke's Bay,Carbon dioxide equivalents,Kilotonnes,2013,55.44
Hawke's Bay,Carbon dioxide equivalents,Kilotonnes,2014,58.45
Hawke's Bay,Carbon dioxide equivalents,Kilotonnes,2015,56.58
Hawke's Bay,Carbon dioxide equivalents,Kilotonnes,2016,59.25
Hawke's Bay,Carbon dioxide equivalents,Kilotonnes,2017,59.55
Hawke's Bay,Carbon dioxide equivalents,Kilotonnes,2018,65.9
Hawke's Bay,Carbon dioxide equivalents,Kilotonnes,2019,63.11
Manawatu-Whanganui,Carbon dioxide equivalents,Kilotonnes,2007,31.23
Manawatu-Whanganui,Carbon dioxide equivalents,Kilotonnes,2008,35.36
Manawatu-Whanganui,Carbon dioxide equivalents,Kilotonnes,2009,35.78
