Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust
1/1/22,22.5,33.6,0,SW,30,15:39
2/1/22,19.3,30.6,0,SW,35,14:01
3/1/22,14.1,25.9,0,S,37,17:41
4/1/22,14.2,24.4,0,SE,41,12:00
5/1/22,14.4,21.5,0,S,37,13:23
6/1/22,15.8,22.3,0,SW,39,19:32
7/1/22,16.6,21,1.6,SW,43,15:40
8/1/22,16,24.4,1.6,SW,31,14:35
9/1/22,11.7,31.7,0,WNW,24,13:00
10/1/22,19.8,37,0,E,52,22:43
11/1/22,27.2,40.3,0,E,50,0:32
12/1/22,19.2,28.9,0,WSW,30,15:35
13/1/22,17.6,25.2,0,WSW,28,12:29
14/1/22,17.8,23.8,0,WSW,30,17:20
15/1/22,14.5,26.7,0,WSW,30,14:44
16/1/22,16.9,28.6,0,SW,33,15:30
17/1/22,16.4,25.6,0,SW,35,13:34
18/1/22,15.1,25,0,SE,43,20:00
19/1/22,14.2,29.8,0,ESE,50,23:43
20/1/22,18.9,35.1,0,NE,50,10:20
21/1/22,25.7,33.7,0,NE,44,10:36
22/1/22,22.8,26.3,0.6,ENE,44,9:06
23/1/22,21.1,25.9,22.8,NE,37,17:29
24/1/22,20.5,30.1,17,NNE,35,11:23
25/1/22,24.2,31.7,0.2,SW,30,15:25
26/1/22,21.8,34.1,0,SW,26,11:30
27/1/22,22,34.4,14.2,N,33,23:27
28/1/22,21.7,26.8,0.2,SW,44,16:08
29/1/22,18,28.5,0,SSE,35,14:52
30/1/22,17.4,32.8,0,W,28,13:44
31/1/22,18.7,35.2,0,WSW,31,15:02
